time,ghi,etr
2017/01/01 00:00:00,0,0
2017/01/01 01:00:00,0,0
2017/01/01 02:00:00,0,0
2017/01/01 03:00:00,0,0
2017/01/01 04:00:00,35.853,101.907
2017/01/01 05:00:00,151.087,345.445
2017/01/01 06:00:00,191.511,547.001
2017/01/01 07:00:00,251.348,690.63
2017/01/01 08:00:00,277.434,766.559
2017/01/01 09:00:00,272.057,769.692
2017/01/01 10:00:00,237.254,699.825
2017/01/01 11:00:00,174.639,561.513
2017/01/01 12:00:00,96.776,364.43
2017/01/01 13:00:00,25.443,122.127
2017/01/01 14:00:00,0,0.001
2017/01/01 15:00:00,0,0
2017/01/01 16:00:00,0,0
2017/01/01 17:00:00,0,0
2017/01/01 18:00:00,0,0
2017/01/01 19:00:00,0,0
2017/01/01 20:00:00,0,0
2017/01/01 21:00:00,0,0
2017/01/01 22:00:00,0,0
2017/01/01 23:00:00,0,0
2017/01/02 00:00:00,0,0
2017/01/02 01:00:00,0,0
2017/01/02 02:00:00,0,0
2017/01/02 03:00:00,0,0
2017/01/02 04:00:00,46.963,103.045
2017/01/02 05:00:00,207.451,346.869
2017/01/02 06:00:00,367.519,548.502
2017/01/02 07:00:00,484.534,692.282
2017/01/02 08:00:00,548.04,768.309
2017/01/02 09:00:00,559.778,771.442
2017/01/02 10:00:00,498.609,701.327
2017/01/02 11:00:00,376.753,563.164
2017/01/02 12:00:00,223.701,365.93
2017/01/02 13:00:00,58.388,123.439
2017/01/02 14:00:00,0,0.002
2017/01/02 15:00:00,0,0
2017/01/02 16:00:00,0,0
2017/01/02 17:00:00,0,0
2017/01/02 18:00:00,0,0
2017/01/02 19:00:00,0,0
2017/01/02 20:00:00,0,0
2017/01/02 21:00:00,0,0
2017/01/02 22:00:00,0,0
2017/01/02 23:00:00,0,0
2017/01/03 00:00:00,0,0
2017/01/03 01:00:00,0,0
2017/01/03 02:00:00,0,0
2017/01/03 03:00:00,0,0
2017/01/03 04:00:00,49.659,104.276
2017/01/03 05:00:00,219.652,348.445
2017/01/03 06:00:00,387.401,550.252
2017/01/03 07:00:00,513.035,694.13
2017/01/03 08:00:00,580.642,770.211
2017/01/03 09:00:00,580.89,773.291
2017/01/03 10:00:00,518.726,703.325
2017/01/03 11:00:00,399.827,564.914
2017/01/03 12:00:00,235.289,367.555
2017/01/03 13:00:00,61.525,124.845
2017/01/03 14:00:00,0,0.002
2017/01/03 15:00:00,0,0
2017/01/03 16:00:00,0,0
2017/01/03 17:00:00,0,0
2017/01/03 18:00:00,0,0
2017/01/03 19:00:00,0,0
2017/01/03 20:00:00,0,0
2017/01/03 21:00:00,0,0
2017/01/03 22:00:00,0,0
2017/01/03 23:00:00,0,0
2017/01/04 00:00:00,0,0
2017/01/04 01:00:00,0,0
2017/01/04 02:00:00,0,0
2017/01/04 03:00:00,0,0
2017/01/04 04:00:00,51.562,105.639
2017/01/04 05:00:00,222.326,350.119
2017/01/04 06:00:00,388.259,552.1
2017/01/04 07:00:00,512.025,696.032
2017/01/04 08:00:00,577.711,772.211
2017/01/04 09:00:00,584.784,775.291
2017/01/04 10:00:00,522.721,705.325
2017/01/04 11:00:00,403.131,566.763
2017/01/04 12:00:00,229.385,369.256
2017/01/04 13:00:00,60.57,126.388
2017/01/04 14:00:00,0.001,0.004
2017/01/04 15:00:00,0,0
2017/01/04 16:00:00,0,0
2017/01/04 17:00:00,0,0
