time,ghi,etr
2018/01/01 00:00:00,0,0
2018/01/01 01:00:00,0,0
2018/01/01 02:00:00,0,0
2018/01/01 03:00:00,0,0
2018/01/01 04:00:00,26.827,101.626
2018/01/01 05:00:00,119.506,345.07
2018/01/01 06:00:00,208.188,546.502
2018/01/01 07:00:00,273.963,690.13
2018/01/01 08:00:00,304.465,766.06
2018/01/01 09:00:00,299.165,769.192
2018/01/01 10:00:00,208.643,699.325
2018/01/01 11:00:00,120.056,561.014
2018/01/01 12:00:00,80.962,364.055
2018/01/01 13:00:00,29.081,121.814
2018/01/01 14:00:00,0,0.001
2018/01/01 15:00:00,0,0
2018/01/01 16:00:00,0,0
2018/01/01 17:00:00,0,0
2018/01/01 18:00:00,0,0
2018/01/01 19:00:00,0,0
2018/01/01 20:00:00,0,0
2018/01/01 21:00:00,0,0
2018/01/01 22:00:00,0,0
2018/01/01 23:00:00,0,0
2018/01/02 00:00:00,0,0
2018/01/02 01:00:00,0,0
2018/01/02 02:00:00,0,0
2018/01/02 03:00:00,0,0
2018/01/02 04:00:00,26.645,102.732
2018/01/02 05:00:00,93.321,346.494
2018/01/02 06:00:00,169.11,548.1
2018/01/02 07:00:00,374.513,691.782
2018/01/02 08:00:00,480.263,767.711
2018/01/02 09:00:00,468.084,770.942
2018/01/02 10:00:00,442.886,700.827
2018/01/02 11:00:00,344.208,562.664
2018/01/02 12:00:00,199.652,365.506
2018/01/02 13:00:00,49.889,123.095
2018/01/02 14:00:00,0,0.001
2018/01/02 15:00:00,0,0
2018/01/02 16:00:00,0,0
2018/01/02 17:00:00,0,0
2018/01/02 18:00:00,0,0
2018/01/02 19:00:00,0,0
2018/01/02 20:00:00,0,0
2018/01/02 21:00:00,0,0
2018/01/02 22:00:00,0,0
2018/01/02 23:00:00,0,0
2018/01/03 00:00:00,0,0
2018/01/03 01:00:00,0,0
2018/01/03 02:00:00,0,0
2018/01/03 03:00:00,0,0
2018/01/03 04:00:00,48.794,103.951
2018/01/03 05:00:00,217.766,347.994
2018/01/03 06:00:00,385.474,549.752
2018/01/03 07:00:00,511.133,693.532
2018/01/03 08:00:00,578.746,769.56
2018/01/03 09:00:00,575.375,772.693
2018/01/03 10:00:00,514.46,702.825
2018/01/03 11:00:00,393.951,564.414
2018/01/03 12:00:00,227.903,367.055
2018/01/03 13:00:00,59.467,124.47
2018/01/03 14:00:00,0,0.002
2018/01/03 15:00:00,0,0
2018/01/03 16:00:00,0,0
2018/01/03 17:00:00,0,0
2018/01/03 18:00:00,0,0
2018/01/03 19:00:00,0,0
2018/01/03 20:00:00,0,0
2018/01/03 21:00:00,0,0
2018/01/03 22:00:00,0,0
2018/01/03 23:00:00,0,0
2018/01/04 00:00:00,0,0
2018/01/04 01:00:00,0,0
2018/01/04 02:00:00,0,0
2018/01/04 03:00:00,0,0
2018/01/04 04:00:00,51.628,105.276
2018/01/04 05:00:00,222.755,349.695
2018/01/04 06:00:00,384.569,551.502
2018/01/04 07:00:00,507.988,695.381
2018/01/04 08:00:00,559.566,771.56
2018/01/04 09:00:00,562.984,774.692
2018/01/04 10:00:00,513.745,704.576
2018/01/04 11:00:00,393.984,566.263
2018/01/04 12:00:00,231.033,368.805
2018/01/04 13:00:00,60.549,125.969
2018/01/04 14:00:00,0.001,0.003
2018/01/04 15:00:00,0,0
2018/01/04 16:00:00,0,0
2018/01/04 17:00:00,0,0
2018/01/04 18:00:00,0,0
2018/01/04 19:00:00,0,0
